preprocessed_descriptors
maxwHBa
mindsCH
VE1_Dzs
SHdsCH
AATS5i
minaasC
IC4
VE1_DzZ
MDEC-22
nHAvin
MDEC-14
C3SP2
GATS5c
minHCsatu
GATS5e
maxsssCH
MDEC-11
ATSC6m
AATSC8v
nBondsD
ATSC7p
SaasC
naAromAtom
minssCH2
C3SP3
ATSC8p
nHdsCH
SdssC
MATS8c
ATSC4m
minsCH3
VE1_Dzp
GATS3s
fragC
GATS8s
AATS8i
MDEC-12
GATS4c
GATS4e
AATSC6s
GATS6e
maxsCH3
VR1_Dzp
GATS8c
GATS3e
AATSC7v
ATSC5e
minsssCH
VR1_DzZ
maxdssC
naasC
AATS4i
ATSC7s
ALogp2
SpMax4_Bhm
AATSC4v
AATSC8s
AATSC4m
ATSC4s
LipinskiFailures
GATS6s
BCUTp-1h
SpMax1_Bhs
AATS7i
ATSC8c
AATSC1v
ATSC7e
ATSC8v
IC3
VR1_Dt
MATS7c
nAtomLAC
ATSC4e
AATSC8m
AATS7s
VE1_Dzv
GATS6m
MATS8e
AATS6i
minHother
ATSC7m
MDEC-33
ATSC4c
AATS3i
ATSC1s
AATSC2m
ATSC3p
GATS4s
SpMax2_Bhs
GATS7m
GATS7s
AATSC3m
ATSC3e
AATSC5s
AATSC5v
ATSC2m
ATSC7v
BCUTp-1l
MATS5c
C1SP3
SpMax4_Bhs
ATSC8m
ATSC5v
minHdsCH
AATS8m
AATSC6m
AATSC7m
AATS5m
GATS6c
MATS7e
SpMin3_Bhm
SpMax3_Bhm
ATSC3v
VE3_DzZ
MATS5e
ETA_Beta_ns_d
maxssO
maxssCH2
maxHCsatu
AATS7v
nHdCH2
AATS8e
ATSC5p
ATSC8e
ATSC4v
ATSC3s
AATS4e
GATS5s
MATS4c
maxHdsCH
nsCH3
GATS7e
ALogP
AATS4v
IC2
VC-3
MDEC-23
AATSC7s
ATSC6p
AATSC6v
SpMin8_Bhe
SpMAD_Dt
GATS2m
AATS1i
ATSC7c
ATSC8s
AMR
ATSC5c
SC-5
minwHBa
maxHother
MAXDN
piPC3
R_TpiPCTPC
piPC10
MDEC-13
C1SP2
SpMax3_Bhs
VPC-5
GGI3
ETA_Eta_B
ETA_EtaP
C2SP2
MATS6c
IC1
mindO
nHCsatu
SCH-6
AATS0i
AATS0e
ATSC6c
ATSC6v
ATSC5m
nO
AATS0m
AATS4m
ATSC1m
AATS6m
AATS7m
AATS8v
AATS7e
AATS5e
AATS6e
nT6Ring
nAtomP
AATSC0v
AATSC5m
AATSC3v
AATSC1m
ATSC1v
ATSC6e
ATSC3m
MATS6e
SPC-4
SPC-5
SpMax1_Bhm
nBondsM
SC-3
VPC-4
GGI6
MLFER_E
ETA_Eta_F_L
nwHBa
MLFER_S
ndssC
SHother
ETA_BetaP
gmin
ATSC1p
minHBa
GATS7c
ETA_EtaP_F
VR2_Dzv
ATSC4p
VR1_Dzm
